State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Madhya Pradesh",Morena,Sabalgarh(F&V),"Green Chilli","Green Chilly",FAQ,06/04/2025,900,1000,950
"Madhya Pradesh",Panna,Panna,"Bengal Gram(Gram)(Whole)",Gram,Non-FAQ,06/04/2025,5800,5850,5800
"Madhya Pradesh",Panna,Panna,"Green Peas",Pea,FAQ,06/04/2025,3350,3600,3400
"Madhya Pradesh",Rajgarh,Biaora,"Lentil (Masur)(Whole)","Masur Dal",Non-FAQ,06/04/2025,6100,6100,6100
"Madhya Pradesh",Rajgarh,Biaora,Wheat,Wheat,FAQ,06/04/2025,2240,2425,2320
"Madhya Pradesh",Rajgarh,Jeerapur,Wheat,Wheat,FAQ,06/04/2025,2325,2350,2350
"Madhya Pradesh",Rajgarh,Sarangpur,Onion,Local,Non-FAQ,06/04/2025,500,800,800
"Madhya Pradesh",Ratlam,"A lot",Wheat,Lokwan,FAQ,06/04/2025,2400,2400,2400
"Madhya Pradesh",Ratlam,"A lot",Wheat,Wheat,FAQ,06/04/2025,2313,2384,2384
"Madhya Pradesh",Ratlam,Jaora,Wheat,Lokwan,FAQ,06/04/2025,2301,2301,2301
"Madhya Pradesh",Ratlam,Sailana,Wheat,Wheat,FAQ,06/04/2025,2350,2620,2410
"Madhya Pradesh",Rewa,Hanumana,"Lentil (Masur)(Whole)","Masur Dal",FAQ,06/04/2025,4900,4900,4900
"Madhya Pradesh",Rewa,Rewa,Wheat,"Mill Quality",FAQ,06/04/2025,2310,2315,2315
"Madhya Pradesh",Sagar,Garhakota,Wheat,Wheat,FAQ,06/04/2025,2395,2415,2405
"Madhya Pradesh",Sagar,Shahagarh,Wheat,Wheat,Non-FAQ,06/04/2025,2375,2375,2375
"Madhya Pradesh",Seoni,Chhpara,Wheat,"Mill Quality",FAQ,06/04/2025,2425,2425,2425
"Madhya Pradesh",Seoni,Chhpara,Wheat,Wheat,Non-FAQ,06/04/2025,2400,2480,2480
"Madhya Pradesh",Seoni,Ghansour,Maize,Local,Non-FAQ,06/04/2025,2150,2150,2150
"Madhya Pradesh",Seoni,Lakhnadon,Wheat,Local,Non-FAQ,06/04/2025,2400,2400,2400
"Madhya Pradesh",Seoni,Palari,Wheat,Wheat,Non-FAQ,06/04/2025,2425,2425,2425
"Madhya Pradesh",Shajapur,Nalkehda,Wheat,"Mill Quality",FAQ,06/04/2025,2210,2260,2225
