State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Madhya Pradesh,Ratlam,A lot,Wheat,Wheat,FAQ,2025-04-06,2313.0,2384.0,2384.0
Madhya Pradesh,Ratlam,Jaora,Wheat,Lokwan,FAQ,2025-04-06,2301.0,2301.0,2301.0
Madhya Pradesh,Ratlam,Sailana,Wheat,Wheat,FAQ,2025-04-06,2350.0,2620.0,2410.0
Madhya Pradesh,Rewa,Hanumana,Lentil (Masur)(Whole),Masur Dal,FAQ,2025-04-06,4900.0,4900.0,4900.0
Madhya Pradesh,Rewa,Rewa,Wheat,Mill Quality,FAQ,2025-04-06,2310.0,2315.0,2315.0
Madhya Pradesh,Sagar,Garhakota,Wheat,Wheat,FAQ,2025-04-06,2395.0,2415.0,2405.0
Madhya Pradesh,Sagar,Shahagarh,Wheat,Wheat,Non-FAQ,2025-04-06,2375.0,2375.0,2375.0
Madhya Pradesh,Seoni,Chhpara,Wheat,Mill Quality,FAQ,2025-04-06,2425.0,2425.0,2425.0
Madhya Pradesh,Seoni,Chhpara,Wheat,Wheat,Non-FAQ,2025-04-06,2400.0,2480.0,2480.0
Madhya Pradesh,Seoni,Ghansour,Maize,Local,Non-FAQ,2025-04-06,2150.0,2150.0,2150.0
Madhya Pradesh,Seoni,Lakhnadon,Wheat,Local,Non-FAQ,2025-04-06,2400.0,2400.0,2400.0
Madhya Pradesh,Seoni,Palari,Wheat,Wheat,Non-FAQ,2025-04-06,2425.0,2425.0,2425.0
Madhya Pradesh,Shajapur,Nalkehda,Wheat,Mill Quality,FAQ,2025-04-06,2210.0,2260.0,2225.0
Madhya Pradesh,Shajapur,Nalkehda,Wheat,Wheat,FAQ,2025-04-06,2250.0,2325.0,2300.0
Madhya Pradesh,Shivpuri,Badarwas,Bengal Gram(Gram)(Whole),Gram,FAQ,2025-04-06,5650.0,5650.0,5650.0
Madhya Pradesh,Shivpuri,Barad,Bengal Gram(Gram)(Whole),Gram,FAQ,2025-04-06,5300.0,5440.0,5400.0
Madhya Pradesh,Shivpuri,Shivpuri,Wheat,Wheat,FAQ,2025-04-06,2341.0,2354.0,2354.0
Madhya Pradesh,Tikamgarh,Niwadi,Wheat,Wheat,Non-FAQ,2025-04-06,2320.0,2340.0,2325.0
Madhya Pradesh,Ujjain,Badnagar,Wheat,Malwa Shakti,FAQ,2025-04-06,2350.0,2400.0,2400.0
Madhya Pradesh,Ujjain,Badnagar,Wheat,Mill Quality,Non-FAQ,2025-04-06,2600.0,2630.0,2610.0
Madhya Pradesh,Ujjain,Tarana,Wheat,Wheat,FAQ,2025-04-06,2300.0,2402.0,2402.0
Madhya Pradesh,Ujjain,Ujjain,Soyabean,Soyabeen,Non-FAQ,2025-04-06,3275.0,3500.0,3500.0
Madhya Pradesh,Ujjain,Ujjain,Wheat,Wheat,FAQ,2025-04-06,2400.0,2425.0,2425.0
Madhya Pradesh,Ujjain,Unhel,Wheat,Wheat,FAQ,2025-04-06,2500.0,2600.0,2500.0
Madhya Pradesh,Umariya,Umariya,Bengal Gram(Gram)(Whole),Gram,Non-FAQ,2025-04-06,5300.0,5500.0,5500.0
Maharashtra,Ahmednagar,Parner,Onion,Other,Local,2025-04-06,400.0,1600.0,1250.0
Maharashtra,Ahmednagar,Rahata,Cabbage,Other,Local,2025-04-06,200.0,1000.0,600.0
Maharashtra,Ahmednagar,Rahata,Carrot,Other,Local,2025-04-06,1000.0,2000.0,1500.0
Maharashtra,Ahmednagar,Rahata,Drumstick,Other,Local,2025-04-06,500.0,1000.0,700.0
Maharashtra,Ahmednagar,Rahata,Grapes,Other,Local,2025-04-06,3500.0,3500.0,3500.0
Maharashtra,Ahmednagar,Rahata,Mint(Pudina),Other,Local,2025-04-06,8.0,8.0,8.0
